Fenes;Elec;Aete;Tubu;Crisi;Lich;Chli;Walk;Plan;Elph;Serp;Syll;Plum;Sert;Camp;Hydro;Litho;Calli;Rhodo;Cera;Spyr;Clado;Dict;Spha;Chor;Ecto
0,007692308;0,023076923;0;0,069230769;0;0,192307692;0;0,030769231;0,053846154;0;0,007692308;0;0;0;0,069230769;1,269230769;0;0,015384615;0,046153846;0,030769231;0;0;0;0,007692308;0;0
0,076530612;0,854591837;0,269897959;0,644897959;0;0,551020408;0;0,586734694;0,206632653;0,023469388;0,126530612;0;0;0,007653061;0;15,83469388;0;0;0,471938776;0,137755102;0,022959184;0;0;0,053571429;0,015306122;0
0;0,032786885;0;0;0;0,098360656;0;0;0,327868852;0,252459016;0,229508197;0;0;0;0,016393443;7,163934426;0;0,018032787;0,370491803;0,090983607;0,024590164;0;0;0;0,040983607;0
0;0,1859375;0;0,0234375;0;0,9453125;0;0,1734375;0,0546875;0,453125;0,05;0;0,015625;0;0;9,015625;0;0,2578125;0,7515625;0,1015625;0,0078125;0;0;0;0;0
0,01744186;0,030232558;0;0,026162791;0;0,218023256;0;0;0,026162791;0;0,00872093;0;0;0;0,03255814;3,503488372;0;0,034883721;0,322674419;0,104651163;0,043604651;0;0,01744186;0,034883721;0;0
0;0;0;0,264705882;0;4,117647059;0;0;0,029411765;0,123529412;0,088235294;0;0;0;0;5,832352941;0;0;1,655882353;1,958823529;0,035294118;0;0;0;0,035294118;0
0;0,114213198;0;0;0;0,388324873;0;0,118274112;0,106598985;0;0,038071066;0;0;0;0;3,020558376;0;0,060913706;0,065228426;0,080456853;0,015228426;0;0;0,007614213;0,015228426;0
0;0;0;0,134302326;0;0,287790698;0;0,045348837;0,052325581;0,034883721;0,148255814;0;0;0,00872093;0;6,699418605;0;0,176162791;0,215697674;0,10872093;0,010465116;0;0;0;0,069767442;0
0;0;0;0,111940299;0;0,044776119;0;0;0,07238806;0,328358209;0,03358209;0;0;0;0;12,84626866;0;0;0,13358209;0,03880597;0,01641791;0;0;0,01119403;0,089552239;0
0,027040816;0,069387755;0,022959184;0,022959184;0;0,38877551;0;0,046428571;0,057653061;0,031122449;0,022959184;0;0;0;0,042346939;11,67040816;0;0,015306122;0,425;0,076530612;0,015306122;0;0,007653061;0;0,030612245;0
0,011538462;0;0,038461538;0,073076923;0;0,069230769;0;0,023076923;0,165384615;0,111538462;0,134615385;0;0;0;0;21,38461538;0;0;0,926923077;0,038461538;0,030769231;0;0;0,038461538;0,038461538;0
0,013846154;0,036923077;0,023076923;0;0,013846154;0;0;0,112307692;0,086923077;0;0,010769231;0;0;0,105384615;0,004615385;1,181538462;0;0;0,344615385;0,313230769;0;0;0,003076923;0,026153846;0;0
0,015923567;0,00955414;0;0;0;0,01433121;0,02388535;0;0,431528662;0;0,035031847;0;0;0,00955414;0;3,765923567;0;0,027070064;1,600318471;0,444267516;0;0;0;0,195859873;0,02866242;0
0,012531328;0,061278195;0,018796992;0,012531328;0,01754386;0;0;0;0,127819549;0;0,031328321;0;0;0;0;2,751879699;0;0,007518797;0,906015038;0,135338346;0;0;0;0,030075188;0;0
0;0,026397516;0,004658385;0;0,037732919;0;0,007763975;0,004658385;0,262888199;0;0,023291925;0;0;0;0;3,284161491;0;0,007763975;0,675465839;0,302795031;0;0;0;0;0,088509317;0
0;1,670103093;0;0,00128866;0;0;0;0;0,009226804;0;0,005154639;0;0;0;0;2,099226804;0;0;0,152835052;0,073195876;0;0;0;0;0,006443299;0
0,179597701;1,783908046;0;0;0,001436782;0;0;0;0,057183908;0,004310345;0,017241379;0;0;1,283908046;0,001436782;1,831896552;0;0,010057471;0,195402299;0,086206897;0;0;0;0;0,00862069;0
0;1,075779037;0,021246459;0;0,008498584;0;0;0;0,067988669;0;0,028328612;0;0;0;0;5,855524079;0;0;0,33427762;0,111898017;0;0;0;0;0,004249292;0
0,029508197;0,438688525;0,083606557;0,008196721;0,043606557;0;0,009836066;0;0,229672131;0;0,275409836;0;0;0,01;0,009836066;1,652459016;0;0,014754098;0,673770492;0,093442623;0;0;0;0,06557377;0;0
0,013392857;0,890625;0,060267857;0;0,012053571;0;0;0;0,099553571;0;0,033482143;0;0;0,483482143;0;2,373660714;0;0;0,080357143;0,09375;0;0;0;0,046875;0;0
0,058231939;0,182509506;0;0;0,013174905;0;0,001140684;0;0,428897338;0;0,017110266;0;0;0;0;3,313688213;0;0,006844106;0,316539924;0,106653992;0;0;0;0,068441065;0,02851711;0
0,017915309;1,225895765;0,011400651;0;0,003257329;0;0,001628664;0;0,0752443;0;0;0;0;0;0;1,783387622;0;0;0,61237785;0,039429967;0;0;0;0,072801303;0,024429967;0
0,000651042;0,191432292;0,0125;0;0,0125;0;0,022578125;0;0,045182292;0;0,026692708;0;0;0;0,065755208;1,984375;0;0;0,0625;0,077473958;0;0;0;0,178385417;0,003255208;0
0;0,559104938;0,077932099;0;0,008333333;0;0,046296296;0,041666667;0,398148148;0;0,037037037;0;0;0,671296296;0;1,991512346;0;0,009259259;0,196759259;0,100308642;0;0;0;0,12345679;0;0
0;2,853146853;0,033566434;0;0,003846154;0;0,000874126;0;0,302377622;0;0,037762238;0;0;0;0,003076923;1,250874126;0;0;0,13513986;0,067307692;0;0;0;0,133741259;0,023601399;0
0,005;1,104004425;0,003982301;0,003318584;0,003761062;0;0,000553097;0;0,016814159;0;0,001659292;0;0;0;0;1,353539823;0;0,000553097;0,049668142;0,043252212;0;0;0;0,079756637;0,006637168;0
0,007793522;1,316740891;0,001821862;0;0,00242915;0;0;0;0,136437247;0;0;0;0;0;0;6,558704453;0;0,000607287;0,207692308;0,08582996;0;0;0;0,55840081;0,006072874;0
0;0,768965517;0,070114943;0;0,002528736;0,045977011;0,009425287;0,020689655;0,443218391;0;0;0;0;0;0;3,632183908;0,001724138;0,00137931;0,261034483;0,095402299;0;0;0;0,148275862;0,047241379;0
0,0625;0,096;0,0006;0;0,0022;0;0,0063;0,0031;0,0141;0;0;0;0;0;0;0,937;0;0;0,082;0,0401;0;0;0;0,1635;0;0
0,11042654;1,172985782;0,014218009;0;0,004028436;0;0,002488152;0;0,085781991;0;0,001777251;0;0;0;0,002488152;2,873222749;0;0,0007109;0,133649289;0,068601896;0;0;0;0,132819905;0,007819905;0
0,015122873;0,624187146;0,005671078;0;0,002930057;0;0,003024575;0,005671078;0,019848771;0;0,00047259;0;0;0;0;0,77268431;0;0,001606805;0,016824197;0,017013233;0;0;0;0,052930057;0,002835539;0
0,026190476;0,058650794;0,014444444;0,000793651;0,002380952;0;0,002857143;0;1,247301587;0;0,001904762;0;0;0;0;6,682539683;0;0;0,32952381;0,121428571;0;0;0;0,20952381;0,024761905;0
1,510752688;1,313978495;0;0;0;0;0;0;0,307526882;0;0,022580645;0;0;0;0;17,33064516;0,001075269;0;0,155913978;0,069892473;0;0,037634409;0;2,593548387;0,064516129;0
1,138888889;0;0;0;0,0075;0;0;0;0,041111111;0;0,1375;0;0;0;0;16,82638889;0,003333333;0;0,017361111;0,013888889;0;0,004166667;0;1,386111111;0;0
0,694357367;0;0,040438871;0;0,004357367;0;0,006583072;0;0,335423197;0;0,131661442;0;0;0,040282132;0,071974922;31,06865204;0;0;0,007523511;0,019749216;0;0,014106583;0;2,03354232;0;0
0,080269461;0,689520958;0;0;0;0;0;0;0,014281437;0,036377246;0,004640719;0;0;0;0,204491018;4,423652695;0;0;1,592664671;0,042964072;0;0;0;2,182245509;0;0
1,691715976;0,377218935;0,038757396;0;0,001627219;0;0;0;0,078994083;0,024408284;0,163905325;0;0;0;0,079881657;16,33964497;0;0;0,006597633;0,029289941;0;0,000887574;0;3,913905325;0;0
